 PPID   PID COMM
  668   680 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/137.0.7151.70/Helpers/Google Chrome Helper (GPU).app/Contents/MacOS/Google Chrome Helper (GPU)
  668   681 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/137.0.7151.70/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper
  668   683 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/137.0.7151.70/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper
    1   686 /Library/Apple/System/Library/CoreServices/SafariSupport.bundle/Contents/MacOS/SafariLaunchAgent
    1   687 /System/Library/Frameworks/OpenGL.framework/Versions/A/Libraries/CVMServer
    1   690 /System/Library/PrivateFrameworks/Synapse.framework/Support/contentlinkingd
    1   703 /System/Library/Frameworks/VideoToolbox.framework/Versions/A/XPCServices/VTEncoderXPCService.xpc/Contents/MacOS/VTEncoderXPCService
    1   710 /usr/libexec/biomesyncd
    1   719 /usr/libexec/online-authd
    1   748 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/SpeechSynthesis.framework/Resources/com.apple.speech.speechsynthesisd
    1   751 /System/Library/PrivateFrameworks/DeviceCheckInternal.framework/devicecheckd
    1   752 /System/Library/PrivateFrameworks/AMPLibrary.framework/Versions/A/Support/AMPLibraryAgent
    1   753 /System/Library/PrivateFrameworks/AMPLibrary.framework/Versions/A/Support/AMPArtworkAgent
    1   754 /System/Library/PrivateFrameworks/CoreFP.framework/Versions/A/fairplayd
    1   756 /System/Library/Services/AppleSpell.service/Contents/MacOS/AppleSpell
    1   757 /usr/libexec/keyboardservicesd
    1   791 /usr/libexec/mobileactivationd
    1   803 /System/Library/Frameworks/CoreSpotlight.framework/CoreSpotlightService
    1   832 /System/Library/PrivateFrameworks/XprotectFramework.framework/Versions/A/XPCServices/XprotectService.xpc/Contents/MacOS/XprotectService
    1  2505 /System/Library/PrivateFrameworks/KerberosHelper/Helpers/DiskUnmountWatcher
    1  2536 /usr/libexec/memoryanalyticsd
    1  2551 /System/Library/PrivateFrameworks/CoreLSKD.framework/Versions/A/lskdd
    1  2555 /System/Library/PrivateFrameworks/StorageManagement.framework/Resources/diskspaced
    1  2560 /Library/Apple/System/Library/CoreServices/SafariSupport.bundle/Contents/MacOS/PasswordBreachAgent
  668  2562 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/137.0.7151.70/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper
